IDENT_NUMVEH,IDENT_MEN,NUM_VEH,pond_veh,cylindree_fin,critair,ANNEE_1mec,age,KVKM1ANV,KVCONS,energie_groupe,Pro_Perso,NEWTYPMEN,AGEPR,decile_rev,CSMEN,REG_res,STATUTCOM_UU_RES,pop_10min_voiture_train_res,DIPDETPR,NENFHORS
110000065500002,1100000655000,2,1688.2432181,1.6,2,2016,36.0,17939.486761,8.0,VT,Perso,Couple avec au moins un enfant,42,9,55.0,Ile-de-France,B,100,32.0,0
110000066700001,1100000667000,1,2673.2650688,0.9,1,2019,2.0,10342.217696,6.0,VT,Perso,Personne seule,69,1,38.0,Ile-de-France,C,100,15.0,0
110000071400001,1100000714000,1,2341.7422096,2.4,3,2007,136.0,7898.3261183,8.7,VT,Perso,Couple sans enfant,56,8,45.0,Ile-de-France,B,100,52.0,3
110000072400001,1100000724000,1,1701.487359,2.0,2,2015,32.0,17877.083656,7.0,VT,Perso,Couple sans enfant,58,10,37.0,Ile-de-France,B,100,14.0,5
110000073400001,1100000734000,1,2571.2436353,1.6,2,2012,77.0,14803.81838,5.5,VT,Perso,Famille monoparentale,41,5,37.0,Ile-de-France,B,100,32.0,0
110000073800001,1100000738000,1,1322.3046122,2.2,4,2002,190.0,7024.3148056,10.0,VT,Perso,Couple avec au moins un enfant,48,5,67.0,Ile-de-France,B,100,42.0,0
110000074700002,1100000747000,2,1362.6858618,,3,1998,245.0,9446.1221331,4.5,Autres,Perso,Couple avec au moins un enfant,70,10,22.0,Ile-de-France,C,100,22.0,0
110000074700001,1100000747000,1,1362.6858618,2.0,2,2008,120.0,6844.1252013,6.5,VT,Perso,Couple avec au moins un enfant,70,10,22.0,Ile-de-France,C,100,22.0,0
110000075400001,1100000754000,1,2002.2834335,1.6,3,2000,221.0,5101.5847734,7.0,VT,Perso,Personne seule,52,2,53.0,Ile-de-France,B,100,53.0,1
110000075500001,1100000755000,1,1253.7494121,1.2,1,2014,49.0,13565.012925,3.9,VT,Perso,Couple sans enfant,55,8,45.0,Ile-de-France,B,100,52.0,2
110000081500002,1100000815000,2,711.87510138,0.0,N,1995,279.0,11897.795384,5.0,VT,Perso,Couple avec au moins un enfant,59,9,52.0,Ile-de-France,B,100,71.0,1
110000081500001,1100000815000,1,711.87510138,,N,1999,226.0,6701.4277038,7.0,VT,Perso,Couple avec au moins un enfant,59,9,52.0,Ile-de-France,B,100,71.0,1
110000083500001,1100000835000,1,1625.0241803,1.5,3,2010,101.0,11166.17185,6.0,VT,Perso,Couple avec au moins un enfant,37,10,38.0,Ile-de-France,B,100,15.0,0
110000085400002,1100000854000,2,1998.8893324,,N,1971,576.0,1726.2847715,5.5,VT,Perso,Couple sans enfant,77,6,37.0,Ile-de-France,B,100,22.0,2
110000085400001,1100000854000,1,1998.8893324,2.0,4,2005,162.0,8188.0563774,5.5,VT,Perso,Couple sans enfant,77,6,37.0,Ile-de-France,B,100,22.0,2
110000085500001,1100000855000,1,1960.8206068,1.5,2,2014,53.0,21095.038858,5.5,VT,Perso,Couple avec au moins un enfant,41,9,46.0,Ile-de-France,B,100,32.0,2
110000086500003,1100000865000,3,1123.4538227,1.0,2,2010,101.0,5380.0294767,5.0,VT,Perso,Couple avec au moins un enfant,58,10,56.0,Ile-de-France,B,100,22.0,1
110000086500002,1100000865000,2,1123.4538227,1.6,2,2016,37.0,22725.476839,6.0,VT,Perso,Couple avec au moins un enfant,58,10,56.0,Ile-de-France,B,100,22.0,1
110000091500001,1100000915000,1,2375.7191976,0.0,3,1997,246.0,1991.4079759,0.0,VT,Perso,Couple avec au moins un enfant,41,10,23.0,Ile-de-France,B,100,16.0,0
110000091800001,1100000918000,1,1621.7362777,1.9,5,1998,237.0,9718.8542584,6.0,VT,Perso,Couple avec au moins un enfant,72,8,63.0,Ile-de-France,B,100,71.0,3
110000091800002,1100000918000,2,1621.7362777,1.4,3,2008,115.0,19025.406153,5.5,VT,Perso,Couple avec au moins un enfant,72,8,63.0,Ile-de-France,B,100,71.0,3
110000092600001,1100000926000,1,2883.6171405,1.6,1,2012,69.0,17606.002514,3.0,VT,Perso,Couple avec au moins un enfant,41,10,47.0,Ile-de-France,C,100,32.0,2
110000092600002,1100000926000,2,2883.6171405,2.3,2,2016,27.0,17743.930119,7.0,VT,Perso,Couple avec au moins un enfant,41,10,47.0,Ile-de-France,C,100,32.0,2
110000093300001,1100000933000,1,3290.0329976,1.6,2,2015,35.0,15418.236343,6.0,VT,Perso,Couple avec au moins un enfant,35,10,37.0,Ile-de-France,B,100,14.0,0
110000093400001,1100000934000,1,3213.1482559,1.4,2,2007,132.0,8103.5142699,5.6,VT,Perso,Personne seule,35,3,52.0,Ile-de-France,B,100,52.0,0
